"BehaviorSpace results (NetLogo 6.3.0)"
"nl-poseidon.nlogo"
"exploration-prob"
"09/19/2023 19:44:15:636 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","min-mpa-x","exploration-probability","number-of-fishers","hourly-costs","min-mpa-y","diffusion-rate","growth-rate","price-of-fish","max-mpa-x","carrying-capacity","max-mpa-y","catchability","speed","exploration-radius","[step]","mean [ bank-balance ] of fishers"
"180","5","0.36","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","482335.1272153729"
"181","5","0.37","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","482498.490348614"
"182","5","0.37","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","483041.0220107301"
"183","5","0.37","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","483793.99873100745"
"184","5","0.37","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","483753.39471078594"
"186","5","0.38","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","480986.37865751574"
"185","5","0.37","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","478997.027227808"
"187","5","0.38","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","481149.83719645045"
"188","5","0.38","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","481040.2975101591"
"189","5","0.38","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","480138.85166032123"
"190","5","0.38","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","485781.65574945585"
"191","5","0.39","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","482664.0964081352"
"192","5","0.39","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","484868.5735344812"
"193","5","0.39","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","478764.6554312054"
"194","5","0.39","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","479520.55811217526"
"195","5","0.39","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","482044.6960464703"
"196","5","0.4","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","481062.5828973284"
"198","5","0.4","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","478582.8017131271"
"197","5","0.4","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","478570.52813314355"
"199","5","0.4","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","479117.3260152691"
"200","5","0.4","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","479094.18592816347"
"201","5","0.41","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","477580.7251555406"
"202","5","0.41","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","479841.06783337914"
"203","5","0.41","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","479109.69226591307"
"204","5","0.41","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","483104.24064208433"
"205","5","0.41","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","477872.3749947205"
"206","5","0.42","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","476391.4381950328"
"207","5","0.42","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","476899.33736296295"
"208","5","0.42","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","478925.0504098018"
"209","5","0.42","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","476196.0720760053"
"210","5","0.42","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","479879.63061565685"
"211","5","0.43","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","475260.5696618133"
"212","5","0.43","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","477870.1432348585"
"213","5","0.43","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","477296.19545336434"
"214","5","0.43","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","476236.5219544001"
"215","5","0.43","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","475574.6472190352"
"216","5","0.44","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","477149.99208943965"
"218","5","0.44","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","477766.0685838601"
"217","5","0.44","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","477825.1836081127"
"219","5","0.44","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","475042.16767379927"
"220","5","0.44","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","478303.3930714552"
"221","5","0.45","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","477920.6412845241"
"222","5","0.45","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","472509.4735441648"
"223","5","0.45","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","477388.1505983128"
"224","5","0.45","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","475342.16156726226"
"226","5","0.46","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","474971.72151812806"
"225","5","0.45","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","480315.006253958"
"227","5","0.46","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","476405.1660324184"
"228","5","0.46","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","477113.3064767061"
"229","5","0.46","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","473881.5457383532"
