"BehaviorSpace results (NetLogo 6.3.0)"
"nl-poseidon.nlogo"
"exploration-radius"
"09/19/2023 19:48:49:976 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","min-mpa-x","exploration-probability","number-of-fishers","hourly-costs","min-mpa-y","diffusion-rate","growth-rate","price-of-fish","max-mpa-x","carrying-capacity","max-mpa-y","catchability","speed","exploration-radius","[step]","mean [ bank-balance ] of fishers"
"114","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.2","8760","679272.894737504"
"116","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.3","8760","734000.4767118141"
"115","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.2","8760","710898.9132005742"
"117","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.3","8760","752600.4162825827"
"118","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.3","8760","733476.6173203618"
"119","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.3","8760","729800.2148497386"
"120","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.3","8760","699700.4973064252"
"121","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.4","8760","714779.3948176226"
"122","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.4","8760","748721.0358871269"
"124","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.4","8760","769901.325539037"
"123","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.4","8760","762604.2365002404"
"125","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.4","8760","678823.6760352888"
"126","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.5","8760","725071.5926493539"
"127","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.5","8760","701728.1332474042"
"128","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.5","8760","684794.8131722548"
"129","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.5","8760","733315.3530656073"
"130","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.5","8760","726709.3058305515"
"131","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.6","8760","747636.4848680916"
